"","time.shift","wake","N","w.smooth"
"78666",63.4055555555556,1,18,2.46666666666667
"78667",63.4066666666667,1,18,2.46666666666667
"78668",63.4077777777778,1,18,2.46666666666667
"78669",63.4088888888889,1,18,2.46666666666667
"78670",63.41,1,18,2.46666666666667
"78671",63.4111111111111,1,18,2.46666666666667
"78672",63.4122222222222,1,18,2.53333333333333
"78673",63.4133333333333,0,18,2.53333333333333
"78674",63.4144444444444,1,18,2.6
"78675",63.4155555555556,1,18,2.6
"78676",63.4166666666667,1,18,2.6
"78677",63.4177777777778,1,18,2.66666666666667
"78678",63.4188888888889,1,18,2.73333333333334
"78679",63.42,1,18,2.8
"78680",63.4211111111111,1,18,2.86666666666667
"78681",63.4222222222222,1,18,2.86666666666667
"78682",63.4233333333333,1,18,2.86666666666667
"78683",63.4244444444444,1,18,2.93333333333334
"78684",63.4255555555556,1,18,3
"78685",63.4266666666667,1,18,3.06666666666667
"78686",63.4277777777778,0,18,3.06666666666667
"78687",63.4288888888889,1,18,3.13333333333334
"78688",63.43,1,18,3.2
"78689",63.4311111111111,1,18,3.26666666666667
"78690",63.4322222222222,1,18,3.26666666666667
"78691",63.4333333333333,1,18,3.26666666666667
"78692",63.4344444444444,1,18,3.26666666666667
"78693",63.4355555555556,1,18,3.26666666666667
"78694",63.4366666666667,1,18,3.26666666666667
"78695",63.4377777777778,0,18,3.26666666666667
"78696",63.4388888888889,0,18,3.26666666666667
"78697",63.44,0,18,3.26666666666667
"78698",63.4411111111111,1,18,3.33333333333334
"78699",63.4422222222222,1,18,3.4
"78700",63.4433333333333,1,18,3.46666666666667
"78701",63.4444444444444,1,18,3.53333333333334
"78702",63.4455555555556,1,18,3.6
"78703",63.4466666666667,1,18,3.66666666666667
"78704",63.4477777777778,1,18,3.73333333333334
"78705",63.4488888888889,1,18,3.80000000000001
"78706",63.45,1,18,3.86666666666667
"78707",63.4511111111111,1,18,3.93333333333334
"78708",63.4522222222222,1,18,4.00000000000001
"78709",63.4533333333333,1,18,4.06666666666667
"78710",63.4544444444444,1,18,4.13333333333334
"78711",63.4555555555555,1,18,4.13333333333334
"78712",63.4566666666667,1,18,4.13333333333334
"78713",63.4577777777778,1,18,4.13333333333334
"78714",63.4588888888889,1,18,4.13333333333334
"78715",63.46,1,18,4.13333333333334
"78716",63.4611111111111,1,18,4.13333333333334
"78717",63.4622222222222,1,18,4.13333333333334
"78718",63.4633333333333,1,18,4.13333333333334
"78719",63.4644444444444,1,18,4.13333333333334
"78720",63.4655555555556,1,18,4.13333333333334
"78721",63.4666666666667,1,18,4.13333333333334
"78722",63.4677777777778,1,18,4.2
"78723",63.4688888888889,1,18,4.26666666666667
"78724",63.47,0,18,4.2
"78725",63.4711111111111,0,18,4.13333333333334
"78726",63.4722222222222,0,18,4.06666666666667
"78727",63.4733333333333,0,18,4.00000000000001
"78728",63.4744444444444,0,18,3.93333333333334
"78729",63.4755555555556,0,18,3.86666666666667
"78730",63.4766666666667,0,18,3.80000000000001
"78731",63.4777777777778,0,18,3.80000000000001
"78732",63.4788888888889,1,18,3.80000000000001
"78733",63.48,1,18,3.80000000000001
"78734",63.4811111111111,1,18,3.86666666666667
"78735",63.4822222222222,1,18,3.93333333333334
"78736",63.4833333333333,1,18,4.00000000000001
"78737",63.4844444444444,0,18,4.00000000000001
"78738",63.4855555555555,0,18,4.00000000000001
"78739",63.4866666666667,0,18,3.93333333333334
"78740",63.4877777777778,1,18,3.93333333333334
"78741",63.4888888888889,1,18,3.93333333333334
"78742",63.49,1,18,3.93333333333334
"78743",63.4911111111111,0,18,3.86666666666667
"78744",63.4922222222222,0,18,3.80000000000001
"78745",63.4933333333333,0,18,3.73333333333334
"78746",63.4944444444444,0,18,3.66666666666667
"78747",63.4955555555556,0,18,3.6
"78748",63.4966666666667,0,18,3.6
"78749",63.4977777777778,0,18,3.53333333333334
"78750",63.4988888888889,0,18,3.46666666666667
"78751",63.5,1,18,3.46666666666667
"78752",63.5011111111111,1,18,3.46666666666667
"78753",63.5022222222222,0,18,3.4
"78754",63.5033333333333,1,18,3.4
"78755",63.5044444444444,1,18,3.4
"78756",63.5055555555556,1,18,3.4
"78757",63.5066666666667,1,18,3.4
"78758",63.5077777777778,1,18,3.4
"78759",63.5088888888889,1,18,3.4
"78760",63.51,1,18,3.4
"78761",63.5111111111111,1,18,3.46666666666667
"78762",63.5122222222222,1,18,3.46666666666667
"78763",63.5133333333333,1,18,3.46666666666667
"78764",63.5144444444445,1,18,3.46666666666667
"78765",63.5155555555556,1,18,3.46666666666667
"78766",63.5166666666667,1,18,3.46666666666667
"78767",63.5177777777778,1,18,3.46666666666667
"78768",63.5188888888889,1,18,3.46666666666667
"78769",63.52,1,18,3.46666666666667
"78770",63.5211111111111,1,18,3.53333333333334
"78771",63.5222222222222,1,18,3.6
"78772",63.5233333333333,1,18,3.66666666666667
"78773",63.5244444444444,1,18,3.66666666666667
"78774",63.5255555555556,1,18,3.66666666666667
"78775",63.5266666666667,1,18,3.66666666666667
"78776",63.5277777777778,1,18,3.66666666666667
"78777",63.5288888888889,1,18,3.66666666666667
"78778",63.53,1,18,3.66666666666667
"78779",63.5311111111111,1,18,3.66666666666667
"78780",63.5322222222222,1,18,3.66666666666667
"78781",63.5333333333333,1,18,3.66666666666667
"78782",63.5344444444444,1,18,3.66666666666667
"78783",63.5355555555556,1,18,3.66666666666667
"78784",63.5366666666667,1,18,3.66666666666667
"78785",63.5377777777778,1,18,3.66666666666667
"78786",63.5388888888889,1,18,3.66666666666667
"78787",63.54,1,18,3.66666666666667
"78788",63.5411111111111,1,18,3.66666666666667
"78789",63.5422222222222,1,18,3.66666666666667
"78790",63.5433333333333,1,18,3.66666666666667
"78791",63.5444444444445,1,18,3.66666666666667
"78792",63.5455555555556,1,18,3.66666666666667
"78793",63.5466666666667,1,18,3.66666666666667
"78794",63.5477777777778,1,18,3.66666666666667
"78795",63.5488888888889,1,18,3.66666666666667
"78796",63.55,1,18,3.66666666666667
"78797",63.5511111111111,1,18,3.66666666666667
"78798",63.5522222222222,1,18,3.66666666666667
"78799",63.5533333333333,1,18,3.73333333333334
